title,description,location,currency,category,amount_funded,project_goal,number_backers,"Atlanta, GA","Austin, TX","Boston, MA","Brooklyn, NY","Cambridge, MA","Chicago, IL","Dallas, TX","Las Vegas, NV","London, UK","Los Angeles, CA","Melbourne, AU","Montreal, Canada","Nashville, TN","New York, NY","Oakland, CA","Palo Alto, CA","Paris, France","Philadelphia, PA","Portland, OR","Provo, UT","Salt Lake City, UT","San Diego, CA","San Francisco, CA","San Jose, CA","Seattle, WA","St. Louis, MO","Tokyo, Japan","Toronto, Canada","Vancouver, Canada","Washington, DC",other_loc,aud,cad,chf,dkk,eur,gbp,nzd,sek,usd,3D Printing,Animation,Anthologies,Apparel,Art Books,Camera Equipment,Comics,DIY Electronics,Design,Documentary,Fashion,Film &amp; Video,Food,Gadgets,Games,Graphic Design,Hardware,Music,Narrative Film,Nonfiction,Playing Cards,Product Design,Software,Sound,Tabletop Games,Technology,Video Games,Wearables,Webcomics,Webseries,other_categ
Drawing Beautiful Women: The Frank Cho Method," Frank Cho, the acclaimed creator of ""Liberty Meadows,"" shares his secrets to drawing the lovely women he is renowned for. ","San Jose, CA",usd,Comics,0.16424665571,-0.142818193631,0.90976806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BASE by Wiivv \u2014\xa0Custom, 3D Printed Insoles"," BASE by Wiivv is a custom, 3D printed insole that uses a smart phone to capture your feet. Your shoes, made better with technology. ","Vancouver, Canada",usd,3D Printing,1.37527288498,1.16631523594,0.89958741827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escape Big Box, Escape is a real time cooperative board game in which players must escape from a cursed temple before the temple collapses. ,"Dallas, TX",usd,Tabletop Games,1.54266558591,-0.797384908415,0.8661367383,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"The Undress SPORT, world's first dress for all active women.", Change clothes in public without getting NAKED! The Undress is the quickest and easiest way to change before and after workouts! ,"San Diego, CA",usd,Fashion,1.5763739559,0.0535518208039,0.861773606131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Put2Go: Car Mount with Wireless Charging, Ultra Convenient"," Supports iPhone/Android devices. Magnetic phone dock with built-in wireless charging, arguably the most advanced yet. Super easy! ","Los Angeles, CA",usd,Gadgets,1.42844312417,-0.535558222502,0.823959793991,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kill Doctor Lucky," A new deluxe edition of Kill Doctor Lucky, a classic board game from Cheapass Games. ","Seattle, WA",usd,Tabletop Games,1.00742735101,0.511748521153,0.821051039211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Time of EVE: The Movie on Blu-ray, Launch the international Blu-ray release of Time of EVE: The Movie! ,"San Francisco, CA",usd,Animation,1.08620298663,-0.928298251372,0.821051039211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brawl in the Family: The Complete Collection, The remaining 400+ strips from the popular gaming webcomic--across two big ol' books--complete with dozens of pages of bonus material! ,other_loc,usd,other_categ,1.98591297197,1.55905526481,0.816687907041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Federal 52 Part 2 -  A NEW Bicycle Playing Card Deck., A NEW Bicycle Playing Card Deck designed by Jackson Robinson inspired by US bank notes and currency. ,other_loc,usd,Design,0.682115061854,-1.05921159433,0.812324774871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This Is War - An LFG Musical Short, An animated musical short from the world of Looking For Group. ,"Montreal, Canada",usd,Animation,-0.133559721399,-1.19012493729,0.806507265312,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Contender: The Game of Political Debate, In the grand tradition of presidential debates comes a social card game straight from the eagle  _  _s beak of American democracy.  _  _Get your copy today. ,"Oakland, CA",usd,Tabletop Games,0.0124558620347,-1.12466826581,0.802144133142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GoPano micro - Capture 360\xba videos from an iPhone 4, The GoPano micro is a lens for the iPhone 4 to make 360  __ panoramic videos! Snap the lens to your iPhone & record complete 360  __ action. ,other_loc,usd,Technology,0.405199623833,-0.797384908415,0.783237227072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ridiculously Cozy Underwear & Lounge Apparel, Get luxury comfort without the luxury price. Now in stock! ,"Austin, TX",usd,Apparel,1.14746146669,-0.797384908415,0.725062131473,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
